Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4741,51,,S1,3240 SEYMOUR AVE,,10469,1,1,2,"2,032","1,536",1945,1,S1,"592,000",10/26/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4742,10,,A5,3247 CORSA AVENUE,,10469,1,0,1,"1,800","1,260",1950,1,A5,"520,000",4/14/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4742,18,,A5,3231 CORSA AVE,,10469,1,0,1,"1,800","1,260",1950,1,A5,"450,000",3/21/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4742,42,,A5,3230 FENTON AVENUE,,10469,1,0,1,"2,050","1,408",1920,1,A5,"561,000",7/29/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4742,53,,A5,3252 FENTON AVENUE,,10469,1,0,1,"2,050","1,280",1920,1,A5,"350,000",9/8/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4745,7,,A5,3347 KINGSLAND AVENUE,,10469,1,0,1,"1,709","1,863",1950,1,A5,"675,000",12/30/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4745,43,,A5,3316 MICKLE AVENUE,,10469,1,0,1,"1,519","1,432",1970,1,A5,"443,949",11/18/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4745,44,,A5,3318 MICKLE AVENUE,,10469,1,0,1,"1,520","1,432",1960,1,A5,0,2/4/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4745,46,,A5,3322 MICKLE AVENUE,,10469,1,0,1,"1,519","1,432",1970,1,A5,"467,500",10/6/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4746,32,,A5,3214 CORSA AVENUE,,10469,1,0,1,"2,925","1,400",1950,1,A5,0,4/22/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4746,51,,A5,3252 CORSA AVENUE,,10469,1,0,1,"1,799","1,404",1950,1,A5,"500,000",8/16/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4747,45,,A1,3216 EASTCHESTER ROAD,,10469,1,0,1,"2,981","1,283",1901,1,A1,10,9/27/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4748,44,,A1,3216 MICKLE AVENUE,,10469,1,0,1,"4,750","1,405",1930,1,A1,"545,000",5/26/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4749,47,,A1,3314 KINGSLAND AVENUE,,10469,1,0,1,"3,324","1,472",1935,1,A1,"430,000",1/11/23
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4750,9,,A5,3357 GUNTHER AVE,,10469,1,0,1,"1,710","1,539",1950,1,A5,"640,000",2/2/22
